INF109,INF110_TOT,PatrullajeTotal,Denuncias
4,68,720,42
6,96,210,79
5,64,248,88
4,70,1080,33
5,120,240,139
4,75,1170,95
4,72,22,75
6,120,300,112
5,75,810,84
5,80,141,53
5,95,42,104
6,82,39,90
4,110,14,157
6,84,558,201
4,75,120,120
6,115,330,129
6,104,960,199
6,79,720,113
5,88,690,69
5,69,180,34
5,69,240,67
6,103,202,180
6,97,150,204
6,136,210,65
4,63,720,27
5,72,660,96
5,84,154,156
5,120,93,196
5,85,39,34
6,91,630,94
3,63,240,67
5,42,540,42
5,61,660,155
4,64,10,91
6,110,810,111
5,57,180,85
6,121,65,345
6,63,145,48
6,69,102,54
4,59,270,30
6,96,1280,373
5,60,810,9
5,86,1141,61
3,124,972,349
5,161,2030,202
5,96,100,119
5,145,440,82
6,151,270,183
6,152,63,697
6,65,1620,54
5,63,1140,44
4,74,630,54
4,49,720,21
5,66,600,38
6,71,555,120
6,91,1170,122
6,89,750,150
5,105,720,119
4,59,306,85
5,52,540,89
5,68,90,72
2,35,150,24
6,147,164,131
5,99,162,84
5,80,480,38
2,56,420,25
2,43,210,3
4,76,1006,37
4,52,150,49
5,108,240,73
2,43,240,12
6,101,91,244
3,74,1380,28
5,112,1440,131
5,95,240,58
6,139,240,175
6,177,1046,142
6,127,198,137
5,196,2190,274
6,127,240,107
5,259,2480,201
6,191,240,376
6,77,150,120
4,57,194,55
6,90,120,164
5,97,330,167
5,68,192,143
4,80,33,51
5,108,240,221
5,106,270,169
6,151,240,371
5,132,180,75
5,140,36,41
6,146,630,432
1,30,240,0
4,55,168,14
5,69,31,47
6,101,108,168
6,105,750,209
4,118,450,185
5,97,142,161
6,103,142,372
6,74,960,123
6,67,696,146
6,66,450,121
6,88,1140,229
5,89,21,141
4,26,90,29
4,20,16,19
4,28,46,27
4,18,57,9
6,31,150,0
2,36,90,4
6,36,450,98
3,26,450,16
2,11,120,1
4,18,540,3
3,32,271,42
4,64,1200,75
5,17,59,5
5,38,900,66
3,20,150,15
2,16,330,0
1,10,270,1
3,20,270,22
4,18,180,11
5,23,272,7
1,10,90,0
6,63,180,250
2,24,90,4
5,36,90,47
5,30,540,19
5,16,90,5
2,20,210,1
5,33,91,16
1,19,210,2
5,29,90,10
4,39,300,10
3,44,3,66
5,41,3,105
4,36,180,34
4,16,90,18
4,26,90,10
1,17,180,10
1,6,90,1
3,14,75,5
3,95,180,37
1,15,60,0
1,14,24,2
1,14,120,0
2,14,121,3
2,16,38,2
2,19,180,3
1,18,180,3
3,17,164,2
4,17,120,1
1,22,130,0
4,17,150,1
5,21,195,0
1,15,150,0
2,14,90,0
2,13,240,1
1,20,90,3
1,13,180,0
1,11,90,0
1,11,90,0
1,14,180,0
1,12,90,3
1,15,120,0
1,33,75,3
2,32,165,3
1,30,75,1
1,34,90,0
3,27,180,0
1,12,60,0
1,15,120,0
1,10,30,0
5,190,1440,171
6,184,750,99
3,23,180,2
6,153,1530,104
3,55,1051,6
3,50,540,25
3,41,180,12
3,41,270,13
2,43,300,6
3,84,840,12
2,32,120,0
2,35,300,6
4,51,780,47
5,25,180,24
6,71,480,70
2,19,360,2
5,36,120,31
5,109,1530,15
3,32,30,2
4,38,120,10
2,20,341,2
4,38,300,3
5,48,270,14
2,26,180,3
1,19,120,4
6,52,270,35
4,17,240,6
2,15,90,4
3,19,270,2
5,102,393,17
3,29,465,2
5,113,1440,63
6,48,150,22
3,24,125,8
2,26,64,3
4,35,294,20
4,31,84,5
4,28,150,7
6,60,150,52
4,9,30,2
4,21,120,12
6,26,90,17
4,40,120,31
4,25,72,8
5,33,176,12
2,14,90,0
2,9,57,0
3,20,210,4
2,20,210,0
3,19,120,7
2,11,60,0
2,12,70,0
1,11,60,0
2,11,64,0
2,16,126,0
2,17,120,0
2,11,64,3
4,24,150,32
6,33,300,6
2,23,75,2
3,30,76,2
3,22,240,2
2,44,150,13
5,40,300,43
5,76,210,49
6,133,210,90
5,55,150,12
2,46,630,10
4,48,240,9
2,30,54,9
5,85,180,26
6,93,27,95
5,49,125,28
4,51,116,10
5,100,180,25
4,40,90,10
6,123,17,122
3,25,70,1
1,14,150,0
2,13,120,0
2,16,90,0
1,11,90,0
